example_id                                            | status  | run_time        |
./spec/models/category_spec.rb[1:1]                   | passed  | 0.76144 seconds |
./spec/models/charge_spec.rb[1:1]                     | pending | 0 seconds       |
./spec/models/cms_page_spec.rb[1:1]                   | passed  | 0.7653 seconds  |
./spec/models/cms_page_spec.rb[1:2:1]                 | passed  | 0.76171 seconds |
./spec/models/event_spec.rb[1:1]                      | passed  | 0.76398 seconds |
./spec/models/event_spec.rb[1:2]                      | passed  | 0.77095 seconds |
./spec/models/event_spec.rb[1:3]                      | passed  | 0.76308 seconds |
./spec/models/family_member_invitation_spec.rb[1:1]   | passed  | 0.75838 seconds |
./spec/models/family_member_invitation_spec.rb[1:2]   | passed  | 0.76058 seconds |
./spec/models/family_member_invitation_spec.rb[1:3]   | passed  | 0.7597 seconds  |
./spec/models/family_member_invitation_spec.rb[1:4]   | passed  | 0.75895 seconds |
./spec/models/family_member_invitation_spec.rb[1:5]   | passed  | 0.76525 seconds |
./spec/models/family_member_invitation_spec.rb[1:6]   | passed  | 0.75968 seconds |
./spec/models/family_member_invitation_spec.rb[1:7]   | passed  | 0.76284 seconds |
./spec/models/family_membership_spec.rb[1:1]          | pending | 0.00001 seconds |
./spec/models/known_dead_spec.rb[1:1]                 | passed  | 0.75974 seconds |
./spec/models/known_dead_spec.rb[1:2]                 | passed  | 0.76083 seconds |
./spec/models/known_dead_spec.rb[1:3]                 | passed  | 0.75755 seconds |
./spec/models/mediumform_spec.rb[1:1:1:1]             | passed  | 0.775 seconds   |
./spec/models/mediumform_spec.rb[1:1:2:1]             | passed  | 0.77083 seconds |
./spec/models/mediumform_spec.rb[1:1:3:1]             | passed  | 0.76214 seconds |
./spec/models/mediumform_spec.rb[1:1:4:1]             | passed  | 0.76072 seconds |
./spec/models/note_spec.rb[1:1]                       | passed  | 0.76209 seconds |
./spec/models/note_spec.rb[1:2]                       | passed  | 0.75742 seconds |
./spec/models/plan_spec.rb[1:1]                       | pending | 0.00001 seconds |
./spec/models/profile_preference_spec.rb[1:1]         | passed  | 0.79061 seconds |
./spec/models/recommended_book_category_spec.rb[1:1]  | passed  | 0.76122 seconds |
./spec/models/recommended_book_category_spec.rb[1:2]  | passed  | 0.76024 seconds |
./spec/models/recommended_book_category_spec.rb[1:3]  | passed  | 0.76492 seconds |
./spec/models/recommended_book_group_spec.rb[1:1]     | passed  | 0.77079 seconds |
./spec/models/recommended_book_group_spec.rb[1:2]     | passed  | 0.77738 seconds |
./spec/models/recommended_book_spec.rb[1:1]           | passed  | 0.76054 seconds |
./spec/models/recommended_book_spec.rb[1:2]           | passed  | 0.76709 seconds |
./spec/models/recommended_book_spec.rb[1:3]           | passed  | 0.77221 seconds |
./spec/models/relationship_spec.rb[1:1]               | passed  | 0.75986 seconds |
./spec/models/relationship_spec.rb[1:2]               | passed  | 0.76024 seconds |
./spec/models/relationship_spec.rb[1:3]               | passed  | 0.76399 seconds |
./spec/models/sitterform_spec.rb[1:1]                 | passed  | 0.78747 seconds |
./spec/models/sitterform_spec.rb[1:2]                 | passed  | 0.76168 seconds |
./spec/models/sitterform_spec.rb[1:3:1:1]             | passed  | 0.75908 seconds |
./spec/models/sitterform_spec.rb[1:3:2:1]             | passed  | 0.76473 seconds |
./spec/models/sitterform_spec.rb[1:3:3:1]             | passed  | 0.75726 seconds |
./spec/models/sitterform_spec.rb[1:3:4:1]             | passed  | 0.77275 seconds |
./spec/models/splash_nav_item_spec.rb[1:1]            | passed  | 0.7647 seconds  |
./spec/models/splash_nav_item_spec.rb[1:2]            | passed  | 0.75855 seconds |
./spec/models/splash_nav_item_spec.rb[1:3]            | passed  | 0.76498 seconds |
./spec/models/subscription_spec.rb[1:1]               | pending | 0 seconds       |
./spec/models/user_category_spec.rb[1:1]              | pending | 0.00001 seconds |
./spec/models/user_preference_selection_spec.rb[1:1]  | passed  | 0.78768 seconds |
./spec/models/user_spec.rb[1:1:1]                     | passed  | 0.76869 seconds |
./spec/models/user_spec.rb[1:2:1:1]                   | passed  | 0.76037 seconds |
./spec/models/user_spec.rb[1:2:2:1]                   | passed  | 0.79611 seconds |
./spec/models/user_spec.rb[1:3:1:1]                   | passed  | 0.76589 seconds |
./spec/models/user_spec.rb[1:3:2:1]                   | passed  | 0.76146 seconds |
./spec/services/invite_family_member_spec.rb[1:1:1:1] | passed  | 0.76809 seconds |
./spec/services/invite_family_member_spec.rb[1:1:1:2] | passed  | 0.76745 seconds |
./spec/services/invite_family_member_spec.rb[1:1:2:1] | passed  | 0.82114 seconds |
./spec/services/invite_family_member_spec.rb[1:1:3:1] | passed  | 0.76185 seconds |
